"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp"
"STR_THEHIVE_CS_SUPPLY_LAB_DESCRIPTION","Custodia protettiva contenente componenti primari da laboratorio. Include materiali essenziali e difficilmente replicabili: provette, petridish, filtri, contenitori sterili, reagenti basilari e composti chimici di uso comune.","Protective container holding primary laboratory components. Includes essential and difficult-to-replicate materials: test tubes, petri dishes, filters, sterile containers, basic reagents and common chemical compounds.","Ochranný kontejner obsahující základní laboratorní vybavení. Obsahuje nezbytné a obtížně reprodukovatelné materiály: zkumavky, Petriho misky, filtry, sterilní nádoby, základní činidla a běžné chemické sloučeniny.","Schutzbehälter mit grundlegenden Laborkomponenten. Enthält wesentliche und schwer reproduzierbare Materialien: Reagenzgläser, Petrischalen, Filter, sterile Behälter, grundlegende Reagenzien und gebräuchliche chemische Verbindungen.","Защитный контейнер с основными лабораторными компонентами. Содержит важные и трудновоспроизводимые материалы: пробирки, чашки Петри, фильтры, стерильные контейнеры, базовые реагенты и распространённые химические соединения.","Ochronny pojemnik zawierający podstawowe komponenty laboratoryjne. Zawiera niezbędne i trudne do odtworzenia materiały: probówki, szalki Petriego, filtry, sterylne pojemniki, podstawowe odczynniki i powszechne związki chemiczne.","Védőtok elsődleges laboratóriumi alkatrészekkel. Alapvető és nehezen reprodukálható anyagokat tartalmaz: kémcsövek, Petri-csészék, szűrők, steril tárolók, alap reagensek és gyakori vegyi vegyületek.","Custodia protettiva contenente componenti primari da laboratorio. Include materiali essenziali e difficilmente replicabili: provette, petridish, filtri, contenitori sterili, reagenti basilari e composti chimici di uso comune.","Contenedor protector con componentes básicos de laboratorio. Incluye materiales esenciales y difíciles de replicar: tubos de ensayo, placas de Petri, filtros, recipientes estériles, reactivos básicos y compuestos químicos comunes.","Conteneur de protection contenant des composants de laboratoire essentiels. Comprend des matériaux difficiles à reproduire : éprouvettes, boîtes de Petri, filtres, récipients stériles, réactifs de base et composés chimiques courants.","装有基础实验室组件的防护箱。内含关键且难以复制的材料：试管、培养皿、过滤器、无菌容器、基础试剂和常见化学化合物。","基本的な研究設備を収めた保護ケース。試験管、ペトリ皿、フィルター、滅菌容器、基礎試薬、一般的な化学化合物などの重要かつ再現困難な資材が含まれている。","Estojo de proteção contendo componentes laboratoriais básicos. Inclui materiais essenciais e difíceis de reproduzir: tubos de ensaio, placas de Petri, filtros, recipientes estéreis, reagentes básicos e compostos químicos comuns.","装有基础实验室组件的防护箱。内含关键且难以复制的材料：试管、培养皿、过滤器、无菌容器、基础试剂和常见化学化合物。"
"STR_THEHIVE_CS_SUPPLY_TEC","Componenti tecnici","Technical Components","Technické součásti","Technische Komponenten","Технические компоненты","Komponenty techniczne","Műszaki alkatrészek","Componenti tecnici","Componentes técnicos","Composants techniques","技术组件","技術部品","Componentes técnicos","技术组件"
"STR_THEHIVE_CS_SUPPLY_TEC_DESCRIPTION","Custodia protettiva contenente componenti tecnici primari. Include ricambi elettronici e piccoli elementi meccanici difficilmente replicabili: cablaggi, connettori, circuiti, sensori, fusibili, interruttori, viti, molle, perni, ingranaggi e parti di precisione.","Protective container holding primary technical components. Includes electronic spare parts and small mechanical elements that are difficult to replicate: wiring, connectors, circuits, sensors, fuses, switches, screws, springs, pins, gears and precision parts.","Ochranný kontejner obsahující základní technické součásti. Obsahuje elektronické náhradní díly a malé mechanické prvky, které je obtížné reprodukovat: kabeláž, konektory, obvody, senzory, pojistky, spínače, šrouby, pružiny, čepy, ozubená kola a přesné součásti.","Schutzbehälter mit grundlegenden technischen Komponenten. Enthält elektronische Ersatzteile und kleine mechanische Elemente, die schwer nachzubauen sind: Verkabelungen, Steckverbinder, Schaltungen, Sensoren, Sicherungen, Schalter, Schrauben, Federn, Bolzen, Zahnräder und Präzisionsteile.","Защитный контейнер с основными техническими компонентами. Содержит электронные запчасти и небольшие механические элементы, которые трудно воспроизвести: проводку, разъёмы, схемы, датчики, предохранители, переключатели, винты, пружины, штифты, шестерни и прецизионные детали.","Ochronny pojemnik zawierający podstawowe komponenty techniczne. Zawiera części elektroniczne i małe elementy mechaniczne trudne do odtworzenia: okablowanie, złącza, obwody, czujniki, bezpieczniki, przełączniki, śruby, sprężyny, trzpienie, koła zębate i części precyzyjne.","Védőtok elsődleges műszaki alkatrészekkel. Nehezen reprodukálható elektronikai pótalkatrészeket és kis mechanikai elemeket tartalmaz: kábelezés, csatlakozók, áramkörök, érzékelők, biztosítékok, kapcsolók, csavarok, rugók, csapok, fogaskerekek és precíziós alkatrészek.","Custodia protettiva contenente componenti tecnici primari. Include ricambi elettronici e piccoli elementi meccanici difficilmente replicabili: cablaggi, connettori, circuiti, sensori, fusibili, interruttori, viti, molle, perni, ingranaggi e parti di precisione.","Contenedor protector con componentes técnicos básicos. Incluye repuestos electrónicos y pequeños elementos mecánicos difíciles de replicar: cableado, conectores, circuitos, sensores, fusibles, interruptores, tornillos, muelles, pasadores, engranajes y piezas de precisión.","Conteneur de protection contenant des composants techniques essentiels. Comprend des pièces électroniques et de petits éléments mécaniques difficiles à reproduire : câblage, connecteurs, circuits, capteurs, fusibles, interrupteurs, vis, ressorts, axes, engrenages et pièces de précision.","装有基础技术组件的防护箱。内含难以复制的电子备件和小型机械部件：线缆、连接器、电路、传感器、保险丝、开关、螺丝、弹簧、销钉、齿轮以及精密零件。","基本的な技術部品を収めた保護ケース。配線、コネクタ、回路、センサー、ヒューズ、スイッチ、ネジ、バネ、ピン、歯車、精密部品などの再現困難な電子部品および小型機械部品が含まれている。","Estojo de proteção contendo componentes técnicos básicos. Inclui peças eletrónicas e pequenos elementos mecânicos difíceis de reproduzir: cablagens, conectores, circuitos, sensores, fusíveis, interruptores, parafusos, molas, pinos, engrenagens e peças de precisão.","装有基础技术组件的防护箱。内含难以复制的电子备件和小型机械部件：线缆、连接器、电路、传感器、保险丝、开关、螺丝、弹簧、销钉、齿轮以及精密零件。"
"THEHIVE_CRAFT_TOOLS","","","","","","","","","","","","","",""
"STR_TheHive_CS_BASE_DEVICE","Craft Tool Base","Craft Tool Base","Základ nástroje pro crafting","Craft Tool Basis","База крафтового инструмента","Baza narzędzia rzemieślniczego","Kézműves eszköz alap","Base per strumenti di crafting","Base de herramienta de fabricación","Base d’outil de craft","制作工具基座","クラフトツールベース","Base de ferramenta de crafting","制作工具基座"
"STR_TheHive_CS_BASE_DEVICE_DESCRIPTION","Classname Base per gli oggetti di Crafting The Hive","Base classname for The Hive crafting items.","Základní název třídy pro craftovací předměty The Hive.","Basis-Klassenname für Crafting-Gegenstände von The Hive.","Базовое имя класса для предметов крафта The Hive.","Bazowa nazwa klasy dla przedmiotów rzemieślniczych The Hive.","Alap osztálynév a The Hive barkácstárgyaihoz.","Classname Base per gli oggetti di Crafting The Hive.","Nombre de clase base para objetos de fabricación de The Hive.","Nom de classe de base pour les objets de craft The Hive.","The Hive制作物品的基础类名。","The Hiveクラフトアイテム用の基本クラス名。","Nome de classe base para itens de crafting The Hive.","The Hive制作物品的基础类名。"
"STR_TheHive_CS_ENGINEER_DEVICE","Piastra PCB Tecnico - SS.Brena","SS.Brena Technical PCB","Technická PCB deska SS.Brena","SS.Brena Technik-PCB","Техническая плата SS.Brena","Płytka PCB Techniczna SS.Brena","SS.Brena Műszaki PCB","Piastra PCB Tecnico - SS.Brena","Placa PCB Técnica SS.Brena","Carte PCB Technique SS.Brena","SS.Brena 技术PCB板","SS.Brena 技術PCB基板","Placa PCB Técnica SS.Brena","SS.Brena 技术PCB板"
"STR_TheHive_CS_ENGINEER_DEVICE_DESCRIPTION","Piastra PCB usata dai graduati del reparto Tecnico della SS.Brena. 

Sulla piastra si vedono chiaramente un registro a scorrimento e componenti analogici saldati a stagno. 

Serve ad abilitare l'uso di particolari strumenti al banco da lavoro.","PCB board used by commissioned members of the SS.Brena Technical division.

A shift register and analog components soldered with tin are clearly visible on the board.

Used to enable the operation of specific tools at the workbench.","PCB deska používaná povýšenými členy technického oddělení SS.Brena.

Na desce jsou jasně viditelné posuvný registr a analogové součástky pájené cínem.

Slouží k aktivaci používání speciálních nástrojů u pracovního stolu.","PCB-Platine, die von ranghöheren Mitgliedern der technischen Abteilung der SS.Brena verwendet wird.

Auf der Platine sind deutlich ein Schieberegister und mit Zinn verlötete analoge Komponenten zu erkennen.

Sie dient zur Aktivierung spezieller Werkzeuge an der Werkbank.","Плата PCB, используемая старшими сотрудниками технического отдела SS.Brena.

На плате отчётливо видны сдвиговый регистр и аналоговые компоненты, припаянные оловом.

Используется для активации специальных инструментов на верстаке.","Płytka PCB używana przez starszych członków działu technicznego SS.Brena.

Na płytce wyraźnie widoczny jest rejestr przesuwny oraz analogowe komponenty lutowane cyną.

Służy do aktywacji specjalnych narzędzi przy stole warsztatowym.","PCB lap, amelyet az SS.Brena műszaki részlegének rangidős tagjai használnak.

A lapon jól látható egy léptetőregiszter és ónnal forrasztott analóg alkatrészek.

Speciális munkaasztali eszközök használatát teszi lehetővé.","Piastra PCB usata dai graduati del reparto Tecnico della SS.Brena.

Sulla piastra si vedono chiaramente un registro a scorrimento e componenti analogici saldati a stagno.

Serve ad abilitare l'uso di particolari strumenti al banco da lavoro.","Placa PCB utilizada por los graduados del departamento técnico de SS.Brena.

En la placa se distinguen claramente un registro de desplazamiento y componentes analógicos soldados con estaño.

Sirve para habilitar el uso de herramientas especiales en el banco de trabajo.","Carte PCB utilisée par les gradés du département technique de la SS.Brena.

Un registre à décalage et des composants analogiques soudés à l’étain sont clairement visibles sur la carte.

Elle sert à activer l’utilisation d’outils spécifiques sur l’établi.","SS.Brena 技术部门高级成员使用的PCB板。

电路板上清晰可见移位寄存器以及锡焊的模拟元件。

用于启用工作台上的特殊工具。","SS.Brena技術部門の上級隊員が使用するPCB基板。

基板上にはシフトレジスタとハンダ付けされたアナログ部品がはっきり確認できる。

作業台で特別な工具を使用可能にする。","Placa PCB usada pelos graduados do departamento técnico da SS.Brena.

Na placa é possível ver claramente um registrador de deslocamento e componentes analógicos soldados com estanho.

Serve para habilitar o uso de ferramentas especiais na bancada de trabalho.","SS.Brena 技术部门高级成员使用的PCB板。

电路板上清晰可见移位寄存器以及锡焊的模拟元件。

用于启用工作台上的特殊工具。"
"STR_TheHive_CS_SECURITY_DEVICE","Piastra PCB Sicurezza - SS.Brena","SS.Brena Security PCB","Bezpečnostní PCB deska SS.Brena","SS.Brena Sicherheits-PCB","Плата безопасности SS.Brena","Płytka PCB Bezpieczeństwa SS.Brena","SS.Brena Biztonsági PCB","Piastra PCB Sicurezza - SS.Brena","Placa PCB de Seguridad SS.Brena","Carte PCB Sécurité SS.Brena","SS.Brena 安全部门PCB板","SS.Brena セキュリティPCB基板","Placa PCB de Segurança SS.Brena","SS.Brena 安全部门PCB板"
"STR_TheHive_CS_SECURITY_DEVICE_DESCRIPTION","Piastra PCB usata dai graduati del reparto Sicurezza della SS.Brena. 

Sulla piastra si vedono chiaramente un registro a scorrimento e componenti analogici saldati a stagno. 

Serve ad abilitare l'uso di particolari strumenti al banco da lavoro.","PCB board used by commissioned members of the SS.Brena Security division.

A shift register and analog components soldered with tin are clearly visible on the board.

Used to enable the operation of specific tools at the workbench.","PCB deska používaná povýšenými členy bezpečnostního oddělení SS.Brena.

Na desce jsou jasně viditelné posuvný registr a analogové součástky pájené cínem.

Slouží k aktivaci používání speciálních nástrojů u pracovního stolu.","PCB-Platine, die von ranghöheren Mitgliedern der Sicherheitsabteilung der SS.Brena verwendet wird.

Auf der Platine sind deutlich ein Schieberegister und mit Zinn verlötete analoge Komponenten zu erkennen.

Sie dient zur Aktivierung spezieller Werkzeuge an der Werkbank.","Плата PCB, используемая старшими сотрудниками отдела безопасности SS.Brena.

На плате отчётливо видны сдвиговый регистр и аналоговые компоненты, припаянные оловом.

Используется для активации специальных инструментов на верстаке.","Płytka PCB używana przez starszych członków działu Bezpieczeństwa SS.Brena.

Na płytce wyraźnie widoczny jest rejestr przesuwny oraz analogowe komponenty lutowane cyną.

Służy do aktywacji specjalnych narzędzi przy stole warsztatowym.","PCB lap, amelyet az SS.Brena Biztonsági részlegének rangidős tagjai használnak.

A lapon jól látható egy léptetőregiszter és ónnal forrasztott analóg alkatrészek.

Speciális munkaasztali eszközök használatát teszi lehetővé.","Piastra PCB usata dai graduati del reparto Sicurezza della SS.Brena.

Sulla piastra si vedono chiaramente un registro a scorrimento e componenti analogici saldati a stagno.

Serve ad abilitare l'uso di particolari strumenti al banco da lavoro.","Placa PCB utilizada por los graduados del departamento de Seguridad de SS.Brena.

En la placa se distinguen claramente un registro de desplazamiento y componentes analógicos soldados con estaño.

Sirve para habilitar el uso de herramientas especiales en el banco de trabajo.","Carte PCB utilisée par les gradés du département Sécurité de la SS.Brena.

Un registre à décalage et des composants analogiques soudés à l’étain sont clairement visibles sur la carte.

Elle sert à activer l’utilisation d’outils spécifiques sur l’établi.","SS.Brena 安全部门高级成员使用的PCB板。

电路板上清晰可见移位寄存器以及锡焊的模拟元件。

用于启用工作台上的特殊工具。","SS.Brenaセキュリティ部門の上級隊員が使用するPCB基板。

基板上にはシフトレジスタとハンダ付けされたアナログ部品がはっきり確認できる。

作業台で特別な工具を使用可能にする。","Placa PCB usada pelos graduados do departamento de Segurança da SS.Brena.

Na placa é possível ver claramente um registrador de deslocamento e componentes analógicos soldados com estanho.

Serve para habilitar o uso de ferramentas especiais na bancada de trabalho.","SS.Brena 安全部门高级成员使用的PCB板。

电路板上清晰可见移位寄存器以及锡焊的模拟元件。

用于启用工作台上的特殊工具。"
"STR_TheHive_CS_MEDIC_DEVICE","Piastra PCB Medico - SS.Brena","SS.Brena Medical PCB","Lékařská PCB deska SS.Brena","SS.Brena Medizin-PCB","Медицинская плата SS.Brena","Płytka PCB Medyczna SS.Brena","SS.Brena Orvosi PCB","Piastra PCB Medico - SS.Brena","Placa PCB Médica SS.Brena","Carte PCB Médicale SS.Brena","SS.Brena 医疗PCB板","SS.Brena 医療PCB基板","Placa PCB Médica SS.Brena","SS.Brena 医疗PCB板"
"STR_TheHive_CS_MEDIC_DEVICE_DESCRIPTION","Piastra PCB usata dai graduati del reparto Sanita e Ricerca della SS.Brena. 

Sulla piastra si vedono chiaramente un registro a scorrimento e componenti analogici saldati a stagno. 

Serve ad abilitare l'uso di particolari strumenti al banco da lavoro.","PCB board used by commissioned members of the SS.Brena Health and Research division.

A shift register and analog components soldered with tin are clearly visible on the board.

Used to enable the operation of specific tools at the workbench.","PCB deska používaná povýšenými členy oddělení zdravotnictví a výzkumu SS.Brena.

Na desce jsou jasně viditelné posuvný registr a analogové součástky pájené cínem.

Slouží k aktivaci používání speciálních nástrojů u pracovního stolu.","PCB-Platine, die von ranghöheren Mitgliedern der Abteilung Gesundheit und Forschung der SS.Brena verwendet wird.

Auf der Platine sind deutlich ein Schieberegister und mit Zinn verlötete analoge Komponenten zu erkennen.

Sie dient zur Aktivierung spezieller Werkzeuge an der Werkbank.","Плата PCB, используемая старшими сотрудниками отдела медицины и исследований SS.Brena.

На плате отчётливо видны сдвиговый регистр и analogové компоненты, припаянные оловом.

Используется для активации специальных инструментов на верстаке.","Płytka PCB używana przez starszych członków działu Medycyny i Badań SS.Brena.

Na płytce wyraźnie widoczny jest rejestr przesuwny oraz analogowe komponenty lutowane cyną.

Służy do aktywacji specjalnych narzędzi przy stole warsztatowym.","PCB lap, amelyet az SS.Brena Egészségügyi és Kutatási részlegének rangidős tagjai használnak.

A lapon jól látható egy léptetőregiszter és ónnal forrasztott analóg alkatrészek.

Speciális munkaasztali eszközök használatát teszi lehetővé.","Piastra PCB usata dai graduati del reparto Sanita e Ricerca della SS.Brena.

Sulla piastra si vedono chiaramente un registro a scorrimento e componenti analogici saldati a stagno.

Serve ad abilitare l'uso di particolari strumenti al banco da lavoro.","Placa PCB utilizada por los graduados del departamento de Sanidad e Investigación de SS.Brena.

En la placa se distinguen claramente un registro de desplazamiento y componentes analógicos soldados con estaño.

Sirve para habilitar el uso de herramientas especiales en el banco de trabajo.","Carte PCB utilisée par les gradés du département Santé et Recherche de la SS.Brena.

Un registre à décalage et des composants analogiques soudés à l’étain sont clairement visibles sur la carte.

Elle sert à activer l’utilisation d’outils spécifiques sur l’établi.","SS.Brena 医疗与研究部门高级成员使用的PCB板。

电路板上清晰可见移位寄存器以及锡焊的模拟元件。

用于启用工作台上的特殊工具。","SS.Brena医療・研究部門の上級隊員が使用するPCB基板。

基板上にはシフトレジスタとハンダ付けされたアナログ部品がはっきり確認できる。

作業台で特別な工具を使用可能にする。","Placa PCB usada pelos graduados do departamento de Saúde e Pesquisa da SS.Brena.

Na placa é possível ver claramente um registrador de deslocamento e componentes analógicos soldados com estanho.

Serve para habilitar o uso de ferramentas especiais na bancada de trabalho.","SS.Brena 医疗与研究部门高级成员使用的PCB板。

电路板上清晰可见移位寄存器以及锡焊的模拟元件。

用于启用工作台上的特殊工具。"



